interface_type, frequency
com.sun.source.tree.ParenthesizedTree, 2
javax.tools.Tool, 2
javax.lang.model.element.Element, 2
com.sun.source.tree.MemberSelectTree, 2
com.sun.management.OperatingSystemMXBean, 2
javax.lang.model.element.ModuleElement.Directive, 2
javax.xml.crypto.dsig.XMLSignature, 2
com.sun.source.tree.ReturnTree, 2
javax.xml.crypto.dsig.Transform, 2
java.security.KeyStore.ProtectionParameter, 2
java.beans.BeanInfo, 2
com.sun.source.tree.Tree, 2
com.sun.jdi.event.BreakpointEvent, 2
javax.management.loading.PrivateClassLoader, 2
com.sun.source.tree.UnionTypeTree, 2
java.security.interfaces.EdECPublicKey, 2
org.w3c.dom.ls.LSSerializerFilter, 2
java.time.InstantSource, 2
com.sun.jdi.connect.Transport, 2
com.sun.source.doctree.ParamTree, 2
com.sun.jdi.request.VMDeathRequest, 2
com.sun.jdi.event.VMDeathEvent, 2
com.sun.source.doctree.ProvidesTree, 2
com.sun.jdi.StackFrame, 2
com.sun.source.doctree.SerialFieldTree, 2
javax.naming.event.EventDirContext, 2
com.sun.jdi.request.MonitorWaitRequest, 2
javax.management.MBeanServerConnection, 2
javax.sql.rowset.spi.XmlReader, 2
com.sun.jdi.event.VMStartEvent, 2
com.sun.jdi.request.ClassUnloadRequest, 2
com.sun.source.tree.CompilationUnitTree, 2
java.awt.Paint, 2
javax.swing.text.Document, 2
com.sun.source.tree.AnnotationTree, 2
com.sun.jdi.ShortType, 2
com.sun.source.tree.ClassTree, 2
com.sun.source.tree.IfTree, 2
com.sun.jdi.Mirror, 2
javax.lang.model.element.ModuleElement.ProvidesDirective, 2
com.sun.jdi.LocalVariable, 2
com.sun.source.doctree.VersionTree, 2
java.lang.instrument.Instrumentation, 2
jdk.nio.Channels.SelectableChannelCloser, 2
com.sun.jdi.ClassLoaderReference, 2
java.sql.ResultSet, 2
com.sun.jdi.ClassType, 2
org.ietf.jgss.GSSCredential, 2
com.sun.jdi.BooleanType, 2
javax.sql.RowSetListener, 2
com.sun.source.tree.ThrowTree, 2
com.sun.jdi.event.ExceptionEvent, 2
com.sun.jdi.LongValue, 2
